pValue,p=1_Sum,p=1_STD,p=1_STDp,p=-3_Sum,p=-3_STD,p=-3_STDp,p=-5_Sum,p=-5_STD,p=-5_STDp,p=-8_Sum,p=-8_STD,p=-8_STDp
Target black people,4.71,0.97,0.34,4.67,0.97,0.34,4.66,0.97,0.34,4.64,0.97,0.34
Target disabled people,0.78,0.15,0.05,0.78,0.15,0.05,0.78,0.15,0.05,0.78,0.15,0.05
Target gay people,2.28,0.42,0.15,2.28,0.42,0.15,2.27,0.42,0.15,2.27,0.42,0.15
Target immigrants,0.58,0.14,0.05,0.58,0.14,0.05,0.58,0.14,0.05,0.58,0.14,0.05
Target jews,1.55,0.36,0.13,1.54,0.36,0.13,1.53,0.36,0.13,1.52,0.36,0.13
Target muslims,0.58,0.14,0.05,0.58,0.14,0.05,0.58,0.14,0.05,0.58,0.14,0.05
Target trans people,2.50,0.43,0.15,2.50,0.43,0.15,2.50,0.43,0.15,2.50,0.43,0.15
Target women,0.95,0.16,0.06,0.95,0.16,0.06,0.95,0.16,0.06,0.95,0.16,0.06
Langage dutch,4.88,0.92,0.32,4.78,0.92,0.32,4.74,0.92,0.32,4.67,0.92,0.32
Langage french,1.43,0.23,0.08,1.42,0.23,0.08,1.42,0.23,0.08,1.42,0.23,0.08
Langage french_bis,3.06,0.45,0.16,3.05,0.45,0.16,3.05,0.45,0.16,3.04,0.45,0.16
Langage italian,1.21,0.23,0.08,1.20,0.23,0.08,1.20,0.23,0.08,1.20,0.23,0.08
Langage portuguese,3.08,0.41,0.14,3.08,0.41,0.14,3.07,0.41,0.14,3.07,0.41,0.14
Langage spanish,2.53,0.33,0.11,2.52,0.33,0.11,2.52,0.33,0.11,2.52,0.33,0.11
