,dutch,french,french_bis,italian,portuguese,spanish
0_Numbers,3775.0,3770.0,3765.0,3775.0,3778.0,3811.0
1_ACC,43.36,50.8,47.89,47.02,44.52,38.0
1_AUC,57.51,61.5,60.12,58.01,57.77,54.95
2_F1-AUC,50.03,56.14,53.9,52.47,50.88,45.31
2_H-F1,35.68,49.85,44.36,44.87,38.46,23.4
2_MacF1,42.54,50.78,47.68,46.94,43.98,35.66
2_NH-F1,49.41,51.71,51.0,49.01,49.49,47.92
ACC_black people,46.21,45.75,37.7,31.72,46.79,33.79
ACC_disabled people,45.75,38.16,37.91,47.36,34.17,29.71
ACC_gay people,40.0,44.6,48.28,42.07,40.14,32.88
ACC_immigrants,35.4,48.28,43.22,45.52,34.17,32.43
ACC_jews,34.25,39.31,39.31,31.26,31.88,29.93
ACC_muslims,32.41,64.83,64.83,68.05,48.39,45.8
ACC_trans people,44.6,54.94,39.31,45.29,53.81,34.69
ACC_women,34.25,43.02,43.02,37.7,34.64,26.11
AUC_black people,59.38,60.72,57.41,53.82,60.73,56.01
AUC_disabled people,60.39,58.05,57.74,61.12,54.7,53.01
AUC_gay people,58.93,60.63,62.71,58.31,57.97,54.75
AUC_immigrants,55.24,60.74,59.72,59.91,55.35,55.12
AUC_jews,54.82,57.81,57.81,53.51,54.16,53.82
AUC_muslims,54.93,68.65,68.65,63.51,60.16,61.88
AUC_trans people,59.97,61.49,56.49,55.81,61.35,55.28
AUC_women,55.15,59.48,59.48,55.44,55.79,51.23
F1-AUC_black people,52.7,53.21,47.37,42.06,53.7,44.38
F1-AUC_disabled people,53.04,47.91,47.59,54.16,44.01,40.42
F1-AUC_gay people,49.37,52.61,55.43,50.19,49.0,43.29
F1-AUC_immigrants,45.05,54.35,51.47,52.68,44.27,43.11
F1-AUC_jews,44.15,48.48,48.48,41.63,42.25,40.86
F1-AUC_muslims,42.95,65.18,65.18,62.39,54.09,53.83
F1-AUC_trans people,52.27,57.32,47.87,50.32,56.83,44.67
F1-AUC_women,44.28,51.25,51.25,46.49,44.81,36.72
MM_black people,34.14,32.02,19.64,11.48,33.84,13.95
MM_disabled people,32.33,19.94,19.33,34.74,15.11,8.9
MM_gay people,22.66,29.91,35.05,27.19,23.56,13.35
MM_immigrants,17.22,36.86,28.1,32.33,14.5,12.17
MM_jews,15.41,22.36,22.36,10.88,11.18,8.61
MM_muslims,11.78,61.33,61.33,72.21,37.46,31.45
MM_trans people,30.51,48.94,23.56,35.65,46.97,16.32
MM_women,15.11,27.61,27.61,21.45,15.45,2.46
MacF1_black people,46.03,45.7,37.32,30.31,46.68,32.74
MacF1_disabled people,45.68,37.78,37.44,47.2,33.33,27.83
MacF1_gay people,39.82,44.59,48.14,42.07,40.02,31.82
MacF1_immigrants,34.85,47.96,43.22,45.44,33.19,31.11
MacF1_jews,33.48,39.14,39.14,29.74,30.33,27.9
MacF1_muslims,30.97,61.72,61.72,61.27,48.02,45.78
MacF1_trans people,44.58,53.15,39.24,44.84,52.3,34.07
MacF1_women,33.41,43.02,43.02,37.54,33.83,22.21
OP_black people,84.62,89.42,95.19,96.15,87.62,98.08
OP_disabled people,88.46,96.15,96.15,87.5,94.29,97.12
OP_gay people,95.19,91.35,90.38,89.42,92.38,96.15
OP_immigrants,93.27,84.62,91.35,87.5,96.19,98.08
OP_jews,94.23,93.27,93.27,96.15,97.14,99.04
OP_muslims,98.08,75.96,75.96,54.81,82.86,92.31
OP_trans people,89.42,74.04,89.42,75.96,75.73,94.23
OP_women,95.19,91.35,91.35,89.42,96.12,100.0
fn_black people,218.0,225.0,266.0,293.0,219.0,290.0
fn_disabled people,224.0,265.0,263.0,216.0,281.0,307.0
fn_gay people,256.0,232.0,215.0,241.0,253.0,292.0
fn_immigrants,274.0,209.0,238.0,224.0,283.0,296.0
fn_jews,280.0,257.0,257.0,295.0,294.0,308.0
fn_muslims,292.0,128.0,128.0,92.0,207.0,231.0
fn_trans people,230.0,169.0,253.0,213.0,175.0,282.0
fn_women,281.0,236.0,236.0,260.0,279.0,317.0
fp_black people,16.0,11.0,5.0,4.0,13.0,2.0
fp_disabled people,12.0,4.0,4.0,13.0,6.0,3.0
fp_gay people,5.0,9.0,10.0,11.0,8.0,4.0
fp_immigrants,7.0,16.0,9.0,13.0,4.0,2.0
fp_jews,6.0,7.0,7.0,4.0,3.0,1.0
fp_muslims,2.0,25.0,25.0,47.0,18.0,8.0
fp_trans people,11.0,27.0,11.0,25.0,25.0,6.0
fp_women,5.0,9.0,9.0,11.0,4.0,0.0
tn_black people,88.0,93.0,99.0,100.0,92.0,102.0
tn_disabled people,92.0,100.0,100.0,91.0,99.0,101.0
tn_gay people,99.0,95.0,94.0,93.0,97.0,100.0
tn_immigrants,97.0,88.0,95.0,91.0,101.0,102.0
tn_jews,98.0,97.0,97.0,100.0,102.0,103.0
tn_muslims,102.0,79.0,79.0,57.0,87.0,96.0
tn_trans people,93.0,77.0,93.0,79.0,78.0,98.0
tn_women,99.0,95.0,95.0,93.0,99.0,104.0
tp_black people,113.0,106.0,65.0,38.0,112.0,47.0
tp_disabled people,107.0,66.0,63.0,115.0,50.0,30.0
tp_gay people,75.0,99.0,116.0,90.0,78.0,45.0
tp_immigrants,57.0,122.0,93.0,107.0,48.0,41.0
tp_jews,51.0,74.0,74.0,36.0,37.0,29.0
tp_muslims,39.0,203.0,203.0,239.0,124.0,106.0
tp_trans people,101.0,162.0,78.0,118.0,155.0,55.0
tp_women,50.0,90.0,90.0,71.0,51.0,8.0
