,dutch,french,french_bis,italian,portuguese,spanish
0_Numbers,3775.0,3770.0,3765.0,3775.0,3778.0,3811.0
1_ACC,46.41,52.94,52.86,47.44,47.27,43.35
1_AUC,45.54,49.26,49.1,49.41,49.64,50.59
2_F1-AUC,44.8,48.95,48.81,47.82,47.93,46.95
2_H-F1,55.53,63.51,63.47,54.31,53.76,44.97
2_MacF1,44.06,48.63,48.51,46.23,46.22,43.3
2_NH-F1,32.59,33.76,33.55,38.15,38.67,41.63
ACC_black people,53.33,59.31,61.38,33.79,65.14,58.96
ACC_disabled people,36.78,29.66,25.58,30.8,28.9,22.9
ACC_gay people,57.93,38.85,65.06,61.61,57.8,47.39
ACC_immigrants,55.63,64.37,55.4,54.71,38.76,29.25
ACC_jews,58.16,67.36,67.36,42.76,49.08,40.82
ACC_muslims,28.97,71.03,71.03,68.51,63.3,68.93
ACC_trans people,37.93,42.53,26.21,32.87,33.03,29.02
ACC_women,48.74,54.42,54.42,45.29,36.49,26.34
AUC_black people,49.88,45.9,46.93,48.91,46.48,43.89
AUC_disabled people,45.27,47.84,48.96,46.62,47.97,46.23
AUC_gay people,46.97,50.26,46.05,47.41,47.5,49.29
AUC_immigrants,45.13,46.58,48.93,50.46,48.94,47.73
AUC_jews,45.47,45.91,45.91,45.24,52.16,48.31
AUC_muslims,49.7,48.66,48.66,47.32,51.45,58.4
AUC_trans people,44.38,51.03,48.54,47.65,51.05,48.57
AUC_women,46.2,48.0,48.0,52.18,51.99,49.1
F1-AUC_black people,48.82,45.95,46.93,41.31,45.96,43.94
F1-AUC_disabled people,40.85,38.4,35.72,38.59,37.92,33.01
F1-AUC_gay people,46.95,44.5,45.49,47.41,47.44,46.95
F1-AUC_immigrants,45.15,46.26,48.42,49.53,43.75,38.15
F1-AUC_jews,45.54,44.65,44.65,42.95,49.43,44.18
F1-AUC_muslims,38.64,47.2,47.2,46.22,51.41,58.27
F1-AUC_trans people,40.79,46.47,36.21,40.22,41.84,38.34
F1-AUC_women,45.12,47.55,47.55,48.18,44.22,36.36
MM_black people,56.5,71.6,74.62,19.94,82.48,72.4
MM_disabled people,29.0,12.99,3.68,16.31,11.18,2.08
MM_gay people,67.98,28.4,82.48,74.62,67.37,45.7
MM_immigrants,65.26,80.66,61.33,58.61,29.31,12.76
MM_jews,69.79,87.01,87.01,40.48,46.22,34.12
MM_muslims,9.97,91.54,91.54,87.92,74.32,78.34
MM_trans people,32.02,34.74,5.74,19.34,16.67,11.57
MM_women,51.06,60.43,60.43,38.97,22.42,4.92
MacF1_black people,47.77,45.99,46.93,33.71,45.43,43.98
MacF1_disabled people,36.44,28.96,22.48,30.56,27.87,19.78
MacF1_gay people,46.94,38.73,44.93,47.42,47.38,44.6
MacF1_immigrants,45.17,45.93,47.91,48.6,38.56,28.57
MacF1_jews,45.6,43.4,43.4,40.65,46.71,40.05
MacF1_muslims,27.59,45.74,45.74,45.11,51.37,58.13
MacF1_trans people,37.2,41.91,23.88,32.79,32.63,28.1
MacF1_women,44.04,47.09,47.09,44.19,36.46,23.62
OP_black people,43.27,20.19,19.23,77.88,10.48,15.38
OP_disabled people,61.54,82.69,94.23,76.92,84.76,90.38
OP_gay people,25.96,72.12,9.62,20.19,27.62,52.88
OP_immigrants,25.0,12.5,36.54,42.31,68.57,82.69
OP_jews,21.15,4.81,4.81,50.0,58.1,62.5
OP_muslims,89.42,5.77,5.77,6.73,28.57,38.46
OP_trans people,56.73,67.31,91.35,75.96,85.44,85.58
OP_women,41.35,35.58,35.58,65.38,81.55,93.27
fn_black people,144.0,94.0,84.0,265.0,58.0,93.0
fn_disabled people,235.0,288.0,314.0,277.0,294.0,330.0
fn_gay people,106.0,237.0,58.0,84.0,108.0,183.0
fn_immigrants,115.0,64.0,128.0,137.0,234.0,294.0
fn_jews,100.0,43.0,43.0,197.0,178.0,222.0
fn_muslims,298.0,28.0,28.0,40.0,85.0,73.0
fn_trans people,225.0,216.0,312.0,267.0,275.0,298.0
fn_women,162.0,129.0,129.0,202.0,256.0,309.0
fp_black people,59.0,83.0,84.0,23.0,94.0,88.0
fp_disabled people,40.0,18.0,6.0,24.0,16.0,10.0
fp_gay people,77.0,29.0,94.0,83.0,76.0,49.0
fp_immigrants,78.0,91.0,66.0,60.0,33.0,18.0
fp_jews,82.0,99.0,99.0,52.0,44.0,39.0
fp_muslims,11.0,98.0,98.0,97.0,75.0,64.0
fp_trans people,45.0,34.0,9.0,25.0,15.0,15.0
fp_women,61.0,67.0,67.0,36.0,19.0,7.0
tn_black people,45.0,21.0,20.0,81.0,11.0,16.0
tn_disabled people,64.0,86.0,98.0,80.0,89.0,94.0
tn_gay people,27.0,75.0,10.0,21.0,29.0,55.0
tn_immigrants,26.0,13.0,38.0,44.0,72.0,86.0
tn_jews,22.0,5.0,5.0,52.0,61.0,65.0
tn_muslims,93.0,6.0,6.0,7.0,30.0,40.0
tn_trans people,59.0,70.0,95.0,79.0,88.0,89.0
tn_women,43.0,37.0,37.0,68.0,84.0,97.0
tp_black people,187.0,237.0,247.0,66.0,273.0,244.0
tp_disabled people,96.0,43.0,12.0,54.0,37.0,7.0
tp_gay people,225.0,94.0,273.0,247.0,223.0,154.0
tp_immigrants,216.0,267.0,203.0,194.0,97.0,43.0
tp_jews,231.0,288.0,288.0,134.0,153.0,115.0
tp_muslims,33.0,303.0,303.0,291.0,246.0,264.0
tp_trans people,106.0,115.0,19.0,64.0,55.0,39.0
tp_women,169.0,197.0,197.0,129.0,74.0,16.0
