pValue,p=1_Sum,p=1_STD,p=1_STDp,p=-3_Sum,p=-3_STD,p=-3_STDp,p=-5_Sum,p=-5_STD,p=-5_STDp,p=-8_Sum,p=-8_STD,p=-8_STDp
Target black people,25.15,5.19,2.36,26.43,5.22,2.38,27.10,5.24,2.39,28.14,5.26,2.44
Target disabled people,32.61,6.61,2.47,34.79,6.67,2.50,35.97,6.70,2.53,37.80,6.76,2.60
Target gay people,12.59,2.35,1.09,12.83,2.35,1.09,12.95,2.35,1.09,13.15,2.35,1.10
Target immigrants,37.96,8.18,3.70,41.33,8.30,3.76,43.41,8.38,3.85,47.66,8.49,4.05
Target jews,19.91,4.49,2.03,19.24,4.50,2.04,18.94,4.51,2.04,18.53,4.52,2.06
Target muslims,55.51,12.26,5.90,55.27,12.64,6.08,60.22,12.83,6.29,70.62,13.12,6.71
Target trans people,35.26,7.82,3.18,35.89,7.91,3.21,37.18,7.95,3.25,39.00,8.01,3.33
Target women,40.51,9.03,4.05,46.81,9.21,4.15,52.47,9.33,4.30,61.92,9.52,4.67
Langage dutch,53.06,7.45,3.28,55.99,7.53,3.31,57.50,7.58,3.36,59.76,7.64,3.47
Langage french,34.65,6.06,2.73,36.74,6.11,2.76,38.88,6.15,2.81,44.90,6.20,2.93
Langage french_bis,73.20,10.86,4.78,86.90,11.17,4.94,94.92,11.36,5.16,107.19,11.64,5.62
Langage italian,63.81,8.59,3.80,64.78,8.72,3.86,65.26,8.78,3.93,66.39,8.88,4.07
Langage portuguese,58.59,8.89,4.02,59.58,9.04,4.09,60.61,9.12,4.18,65.13,9.24,4.37
Langage spanish,111.98,17.44,7.39,117.89,18.36,7.69,120.32,18.74,7.96,123.39,19.21,8.37
