,dutch,french,french_bis,italian,portuguese,spanish
0_Numbers,3775.0,3770.0,3765.0,3775.0,3778.0,3811.0
1_ACC,38.75,52.84,53.86,50.81,49.23,46.44
1_AUC,34.68,38.88,39.91,40.11,38.37,37.19
2_F1-AUC,34.83,37.85,38.87,39.98,38.22,37.34
2_H-F1,50.64,68.63,69.4,65.53,64.36,61.15
2_MacF1,34.99,36.83,37.83,39.84,38.07,37.5
2_NH-F1,19.33,5.02,6.26,14.15,11.78,13.85
ACC_black people,50.11,56.55,62.53,65.52,47.71,46.94
ACC_disabled people,28.28,69.66,69.77,61.38,61.93,71.43
ACC_gay people,46.44,50.57,59.54,51.49,52.06,50.34
ACC_immigrants,51.72,63.91,61.61,48.74,62.84,39.46
ACC_jews,38.62,59.31,59.31,65.52,45.64,50.79
ACC_muslims,29.89,53.79,53.79,41.61,30.73,45.12
ACC_trans people,33.1,45.06,41.38,44.83,62.59,41.27
ACC_women,44.37,56.05,56.05,51.49,57.51,47.32
AUC_black people,37.55,37.49,41.42,43.38,35.65,34.7
AUC_disabled people,33.09,45.77,46.01,41.32,42.09,47.07
AUC_gay people,36.45,35.54,40.44,38.12,38.84,36.93
AUC_immigrants,39.59,41.99,41.14,36.97,42.37,31.47
AUC_jews,35.27,38.97,38.97,44.04,33.96,38.89
AUC_muslims,32.17,37.0,37.0,39.54,34.87,36.84
AUC_trans people,33.29,34.22,35.76,37.37,42.06,33.32
AUC_women,36.08,38.27,38.27,37.79,40.06,37.77
F1-AUC_black people,37.95,37.05,40.23,41.8,36.16,35.3
F1-AUC_disabled people,30.45,43.41,43.55,40.49,41.25,44.75
F1-AUC_gay people,36.88,35.91,39.89,38.47,39.15,37.36
F1-AUC_immigrants,39.89,40.49,40.18,37.41,41.32,32.07
F1-AUC_jews,34.93,38.1,38.1,42.73,34.58,39.23
F1-AUC_muslims,30.48,37.06,37.06,38.69,32.45,37.11
F1-AUC_trans people,32.2,34.82,35.79,37.54,41.12,33.79
F1-AUC_women,36.41,38.02,38.02,38.14,39.91,38.1
MM_black people,61.63,74.02,81.87,85.8,58.91,57.86
MM_disabled people,23.87,91.54,92.02,79.76,80.36,93.18
MM_gay people,55.59,64.35,77.04,63.75,64.35,62.31
MM_immigrants,62.84,83.99,80.36,59.52,81.87,46.59
MM_jews,41.69,77.95,77.95,85.2,56.5,61.42
MM_muslims,27.79,69.18,69.18,43.5,26.89,52.52
MM_trans people,32.93,54.98,46.53,51.66,81.21,48.37
MM_women,51.96,72.7,72.7,64.05,73.33,56.31
MacF1_black people,38.35,36.61,39.05,40.21,36.67,35.9
MacF1_disabled people,27.81,41.06,41.1,39.66,40.41,42.43
MacF1_gay people,37.31,36.29,39.35,38.82,39.45,37.8
MacF1_immigrants,40.19,38.99,39.22,37.86,40.28,32.67
MacF1_jews,34.59,37.23,37.23,41.42,35.2,39.58
MacF1_muslims,28.79,37.12,37.12,37.85,30.02,37.39
MacF1_trans people,31.11,35.43,35.82,37.71,40.18,34.26
MacF1_women,36.75,37.78,37.78,38.49,39.76,38.43
OP_black people,13.46,0.96,0.96,0.96,12.38,11.54
OP_disabled people,42.31,0.0,0.0,2.88,3.81,0.96
OP_gay people,17.31,6.73,3.85,12.5,13.33,11.54
OP_immigrants,16.35,0.0,1.92,14.42,2.86,16.35
OP_jews,28.85,0.0,0.0,2.88,11.43,16.35
OP_muslims,36.54,4.81,4.81,35.58,42.86,21.15
OP_trans people,33.65,13.46,25.0,23.08,2.91,18.27
OP_women,20.19,3.85,3.85,11.54,6.8,19.23
fn_black people,127.0,86.0,60.0,47.0,136.0,142.0
fn_disabled people,252.0,28.0,26.0,67.0,65.0,23.0
fn_gay people,147.0,118.0,76.0,120.0,118.0,127.0
fn_immigrants,123.0,53.0,65.0,134.0,60.0,180.0
fn_jews,193.0,73.0,73.0,49.0,144.0,130.0
fn_muslims,239.0,102.0,102.0,187.0,242.0,160.0
fn_trans people,222.0,149.0,177.0,160.0,62.0,174.0
fn_women,159.0,89.0,89.0,119.0,88.0,142.0
fp_black people,90.0,103.0,103.0,103.0,92.0,92.0
fp_disabled people,60.0,104.0,104.0,101.0,101.0,103.0
fp_gay people,86.0,97.0,100.0,91.0,91.0,92.0
fp_immigrants,87.0,104.0,102.0,89.0,102.0,87.0
fp_jews,74.0,104.0,104.0,101.0,93.0,87.0
fp_muslims,66.0,99.0,99.0,67.0,60.0,82.0
fp_trans people,69.0,90.0,78.0,80.0,100.0,85.0
fp_women,83.0,100.0,100.0,92.0,96.0,84.0
tn_black people,14.0,1.0,1.0,1.0,13.0,12.0
tn_disabled people,44.0,0.0,0.0,3.0,4.0,1.0
tn_gay people,18.0,7.0,4.0,13.0,14.0,12.0
tn_immigrants,17.0,0.0,2.0,15.0,3.0,17.0
tn_jews,30.0,0.0,0.0,3.0,12.0,17.0
tn_muslims,38.0,5.0,5.0,37.0,45.0,22.0
tn_trans people,35.0,14.0,26.0,24.0,3.0,19.0
tn_women,21.0,4.0,4.0,12.0,7.0,20.0
tp_black people,204.0,245.0,271.0,284.0,195.0,195.0
tp_disabled people,79.0,303.0,300.0,264.0,266.0,314.0
tp_gay people,184.0,213.0,255.0,211.0,213.0,210.0
tp_immigrants,208.0,278.0,266.0,197.0,271.0,157.0
tp_jews,138.0,258.0,258.0,282.0,187.0,207.0
tp_muslims,92.0,229.0,229.0,144.0,89.0,177.0
tp_trans people,109.0,182.0,154.0,171.0,268.0,163.0
tp_women,172.0,237.0,237.0,212.0,242.0,183.0
