pValue,p=1_Sum,p=1_STD,p=1_STDp,p=-3_Sum,p=-3_STD,p=-3_STDp,p=-5_Sum,p=-5_STD,p=-5_STDp,p=-8_Sum,p=-8_STD,p=-8_STDp
Target black people,31.09,7.31,2.72,30.57,7.38,2.74,30.69,7.41,2.76,30.85,7.44,2.80
Target disabled people,52.70,10.74,4.20,50.49,10.97,4.28,51.72,11.06,4.36,54.61,11.19,4.49
Target gay people,44.16,8.95,3.45,46.89,9.10,3.50,48.75,9.17,3.56,51.38,9.26,3.68
Target immigrants,42.99,7.68,2.89,43.49,7.77,2.92,43.73,7.82,2.96,44.07,7.88,3.03
Target jews,65.47,13.66,6.05,72.16,14.15,6.24,76.43,14.37,6.43,82.02,14.66,6.76
Target muslims,21.30,4.87,1.78,20.55,4.89,1.79,20.22,4.90,1.80,19.79,4.91,1.81
Target trans people,20.47,3.74,1.35,20.53,3.75,1.36,20.56,3.75,1.36,20.59,3.76,1.37
Target women,30.75,6.49,2.40,30.99,6.54,2.42,31.09,6.57,2.43,31.23,6.60,2.47
Langage dutch,45.26,6.63,2.83,45.66,6.69,2.85,45.86,6.72,2.88,46.15,6.76,2.95
Langage french,18.36,2.88,1.01,18.07,2.89,1.02,17.93,2.89,1.02,17.73,2.89,1.02
Langage french_bis,14.67,2.58,0.90,14.20,2.58,0.90,13.98,2.58,0.91,13.68,2.58,0.91
Langage italian,53.59,7.81,3.10,54.20,7.90,3.14,54.48,7.94,3.17,54.87,8.00,3.24
Langage portuguese,39.38,6.77,2.54,38.11,6.83,2.56,37.68,6.85,2.58,37.84,6.88,2.61
Langage spanish,77.67,15.00,5.94,67.22,15.45,6.05,67.79,15.58,6.12,68.37,15.71,6.21
