,dutch,french,french_bis,italian,portuguese,spanish
0_Numbers,3775.0,3770.0,3765.0,3775.0,3778.0,3811.0
1_ACC,39.95,30.45,30.33,34.52,33.56,36.05
1_AUC,46.03,49.76,49.75,49.5,47.47,50.23
2_F1-AUC,42.95,37.15,36.98,41.01,39.69,42.48
2_H-F1,41.95,3.39,2.67,20.87,21.27,25.5
2_MacF1,39.88,24.53,24.21,32.51,31.9,34.74
2_NH-F1,37.81,45.67,45.75,44.15,42.54,43.99
ACC_black people,37.7,25.29,23.91,26.67,25.69,26.76
ACC_disabled people,49.89,24.37,24.19,34.02,34.17,29.48
ACC_gay people,41.38,24.14,23.91,30.8,28.67,30.16
ACC_immigrants,36.55,23.45,24.14,32.64,25.69,28.34
ACC_jews,49.43,27.13,27.13,41.61,43.58,66.89
ACC_muslims,36.78,24.6,24.6,25.06,28.21,25.17
ACC_trans people,27.36,24.14,24.14,27.13,24.25,25.4
ACC_women,33.56,24.19,24.19,27.13,26.33,25.17
AUC_black people,48.18,50.91,48.35,50.16,48.13,50.42
AUC_disabled people,48.28,49.31,49.67,49.39,42.34,48.21
AUC_gay people,47.96,47.51,49.34,51.23,49.44,49.32
AUC_immigrants,45.12,48.71,49.49,50.79,49.11,50.46
AUC_jews,47.64,49.81,49.81,50.75,45.93,55.07
AUC_muslims,44.61,50.45,50.45,50.1,45.89,50.71
AUC_trans people,51.94,50.15,50.15,51.46,50.3,50.85
AUC_women,50.08,50.0,50.0,51.13,51.33,50.62
F1-AUC_black people,42.86,36.1,34.27,37.06,35.62,37.34
F1-AUC_disabled people,46.9,34.9,34.67,41.66,38.13,38.49
F1-AUC_gay people,44.21,34.25,34.5,40.48,38.3,39.37
F1-AUC_immigrants,40.67,33.94,34.74,41.49,35.89,38.55
F1-AUC_jews,46.34,37.32,37.32,45.94,43.67,55.01
F1-AUC_muslims,40.48,35.38,35.38,35.7,36.66,36.12
F1-AUC_trans people,38.13,34.89,34.89,37.81,35.1,36.35
F1-AUC_women,41.72,34.74,34.74,37.71,37.17,35.75
MM_black people,28.1,1.81,1.51,5.14,4.83,5.64
MM_disabled people,51.36,1.51,0.31,19.94,26.59,12.76
MM_gay people,35.35,2.72,0.6,12.08,9.37,13.06
MM_immigrants,28.7,0.3,0.91,16.01,3.93,8.61
MM_jews,51.06,6.34,6.34,33.23,41.39,77.45
MM_muslims,29.61,0.91,0.91,2.11,11.78,2.37
MM_trans people,4.83,0.3,0.3,4.83,0.61,2.67
MM_women,18.43,0.0,0.0,5.14,3.64,1.23
MacF1_black people,37.54,21.29,20.18,23.96,23.1,24.27
MacF1_disabled people,45.53,20.5,19.67,33.93,33.92,28.77
MacF1_gay people,40.46,20.98,19.66,29.72,27.15,29.42
MacF1_immigrants,36.23,19.18,19.99,32.18,22.68,26.65
MacF1_jews,45.03,24.83,24.83,41.14,41.4,54.96
MacF1_muslims,36.35,20.3,20.3,21.3,27.44,21.53
MacF1_trans people,24.33,19.63,19.63,24.16,19.89,21.85
MacF1_women,33.36,19.48,19.48,24.3,23.0,20.88
OP_black people,68.27,100.0,95.19,95.19,91.43,95.19
OP_disabled people,45.19,97.12,99.04,78.85,58.1,83.65
OP_gay people,60.58,92.31,98.08,90.38,89.52,85.58
OP_immigrants,61.54,97.12,98.08,85.58,94.29,92.31
OP_jews,44.23,93.27,93.27,68.27,50.48,32.69
OP_muslims,59.62,100.0,100.0,98.08,80.0,99.04
OP_trans people,99.04,100.0,100.0,98.08,100.0,99.04
OP_women,81.73,100.0,100.0,97.12,99.03,100.0
fn_black people,238.0,325.0,326.0,314.0,315.0,318.0
fn_disabled people,161.0,326.0,325.0,265.0,243.0,294.0
fn_gay people,214.0,322.0,329.0,291.0,300.0,293.0
fn_immigrants,236.0,330.0,328.0,278.0,318.0,308.0
fn_jews,162.0,310.0,310.0,221.0,194.0,76.0
fn_muslims,233.0,328.0,328.0,324.0,292.0,329.0
fn_trans people,315.0,330.0,330.0,315.0,328.0,328.0
fn_women,270.0,326.0,326.0,314.0,318.0,321.0
fp_black people,33.0,0.0,5.0,5.0,9.0,5.0
fp_disabled people,57.0,3.0,1.0,22.0,44.0,17.0
fp_gay people,41.0,8.0,2.0,10.0,11.0,15.0
fp_immigrants,40.0,3.0,2.0,15.0,6.0,8.0
fp_jews,58.0,7.0,7.0,33.0,52.0,70.0
fp_muslims,42.0,0.0,0.0,2.0,21.0,1.0
fp_trans people,1.0,0.0,0.0,2.0,0.0,1.0
fp_women,19.0,0.0,0.0,3.0,1.0,0.0
tn_black people,71.0,104.0,99.0,99.0,96.0,99.0
tn_disabled people,47.0,101.0,103.0,82.0,61.0,87.0
tn_gay people,63.0,96.0,102.0,94.0,94.0,89.0
tn_immigrants,64.0,101.0,102.0,89.0,99.0,96.0
tn_jews,46.0,97.0,97.0,71.0,53.0,34.0
tn_muslims,62.0,104.0,104.0,102.0,84.0,103.0
tn_trans people,103.0,104.0,104.0,102.0,103.0,103.0
tn_women,85.0,104.0,104.0,101.0,102.0,104.0
tp_black people,93.0,6.0,5.0,17.0,16.0,19.0
tp_disabled people,170.0,5.0,1.0,66.0,88.0,43.0
tp_gay people,117.0,9.0,2.0,40.0,31.0,44.0
tp_immigrants,95.0,1.0,3.0,53.0,13.0,29.0
tp_jews,169.0,21.0,21.0,110.0,137.0,261.0
tp_muslims,98.0,3.0,3.0,7.0,39.0,8.0
tp_trans people,16.0,1.0,1.0,16.0,2.0,9.0
tp_women,61.0,0.0,0.0,17.0,12.0,4.0
