,dutch,french,french_bis,italian,portuguese,spanish
0_Numbers,3775.0,3770.0,3765.0,3775.0,3778.0,3811.0
1_ACC,48.13,48.38,49.4,56.4,65.51,57.94
1_AUC,56.17,57.94,58.38,55.13,56.93,57.68
2_F1-AUC,52.13,53.16,53.89,54.27,57.03,56.5
2_H-F1,49.48,48.13,49.93,65.22,76.09,66.13
2_MacF1,48.1,48.38,49.4,53.4,57.12,55.32
2_NH-F1,46.71,48.63,48.86,41.59,38.16,44.51
ACC_black people,39.08,44.6,30.11,39.08,68.35,60.32
ACC_disabled people,40.0,57.24,46.74,64.37,53.44,61.0
ACC_gay people,38.62,48.05,60.23,64.37,63.53,57.6
ACC_immigrants,53.1,42.76,67.82,65.06,72.02,65.53
ACC_jews,42.76,44.14,44.14,59.31,68.35,65.08
ACC_muslims,40.0,35.86,35.86,51.03,72.71,44.22
ACC_trans people,62.53,51.03,47.59,54.71,72.29,57.6
ACC_women,38.39,43.02,43.02,55.86,66.51,53.15
AUC_black people,54.36,57.99,53.42,53.71,55.74,61.07
AUC_disabled people,50.68,59.37,58.33,49.88,52.1,49.88
AUC_gay people,51.75,58.94,63.65,59.44,55.17,61.62
AUC_immigrants,53.69,58.43,61.38,50.99,51.33,56.84
AUC_jews,51.84,60.33,60.33,54.8,56.07,59.2
AUC_muslims,52.99,56.54,56.54,58.26,54.39,54.86
AUC_trans people,53.95,59.58,59.62,55.07,55.77,56.3
AUC_women,55.89,57.18,57.18,58.14,60.0,62.54
F1-AUC_black people,46.72,51.24,40.75,46.39,55.8,58.61
F1-AUC_disabled people,45.23,56.64,52.38,49.87,50.54,49.79
F1-AUC_gay people,45.18,53.24,60.42,58.42,54.79,58.2
F1-AUC_immigrants,51.57,50.59,60.65,51.0,50.58,56.44
F1-AUC_jews,47.03,52.23,52.23,53.78,56.11,58.31
F1-AUC_muslims,46.47,45.87,45.87,53.96,54.31,49.32
F1-AUC_trans people,53.59,54.77,53.43,52.96,55.93,54.5
F1-AUC_women,47.08,50.09,50.09,55.4,59.26,57.38
MM_black people,25.08,32.33,8.76,25.68,80.06,59.64
MM_disabled people,30.21,55.29,35.89,77.64,54.68,70.92
MM_gay people,26.59,38.07,57.1,68.88,71.3,54.01
MM_immigrants,52.57,28.4,73.72,77.95,91.24,73.29
MM_jews,34.44,29.31,29.31,63.44,79.76,70.33
MM_muslims,28.1,16.92,16.92,44.41,89.73,34.72
MM_trans people,70.39,43.2,36.56,54.38,87.27,58.75
MM_women,22.36,29.75,29.75,53.78,72.42,44.31
MacF1_black people,39.08,44.48,28.09,39.08,55.85,56.15
MacF1_disabled people,39.78,53.91,46.43,49.86,48.97,49.7
MacF1_gay people,38.6,47.53,57.19,57.39,54.41,54.78
MacF1_immigrants,49.45,42.76,59.93,51.0,49.82,56.03
MacF1_jews,42.22,44.14,44.14,52.76,56.14,57.42
MacF1_muslims,39.95,35.2,35.2,49.66,54.23,43.78
MacF1_trans people,53.23,49.95,47.24,50.85,56.09,52.69
MacF1_women,38.27,43.0,43.0,52.67,58.53,52.21
OP_black people,83.65,83.65,98.08,81.73,31.43,62.5
OP_disabled people,71.15,63.46,80.77,22.12,49.52,28.85
OP_gay people,76.92,79.81,70.19,50.0,39.05,69.23
OP_immigrants,54.81,88.46,49.04,24.04,11.43,40.38
OP_jews,69.23,91.35,91.35,46.15,32.38,48.08
OP_muslims,77.88,96.15,96.15,72.12,19.05,75.0
OP_trans people,37.5,75.96,82.69,55.77,24.27,53.85
OP_women,89.42,84.62,84.62,62.5,47.57,80.77
fn_black people,248.0,224.0,302.0,246.0,66.0,136.0
fn_disabled people,231.0,148.0,209.0,74.0,150.0,98.0
fn_gay people,243.0,205.0,142.0,103.0,95.0,155.0
fn_immigrants,157.0,237.0,87.0,73.0,29.0,90.0
fn_jews,217.0,234.0,234.0,121.0,67.0,100.0
fn_muslims,238.0,275.0,275.0,184.0,34.0,220.0
fn_trans people,98.0,188.0,210.0,151.0,42.0,139.0
fn_women,257.0,229.0,229.0,153.0,91.0,181.0
fp_black people,17.0,17.0,2.0,19.0,72.0,39.0
fp_disabled people,30.0,38.0,20.0,81.0,53.0,74.0
fp_gay people,24.0,21.0,31.0,52.0,64.0,32.0
fp_immigrants,47.0,12.0,53.0,79.0,93.0,62.0
fp_jews,32.0,9.0,9.0,56.0,71.0,54.0
fp_muslims,23.0,4.0,4.0,29.0,85.0,26.0
fp_trans people,65.0,25.0,18.0,46.0,78.0,48.0
fp_women,11.0,16.0,16.0,39.0,54.0,20.0
tn_black people,87.0,87.0,102.0,85.0,33.0,65.0
tn_disabled people,74.0,66.0,84.0,23.0,52.0,30.0
tn_gay people,80.0,83.0,73.0,52.0,41.0,72.0
tn_immigrants,57.0,92.0,51.0,25.0,12.0,42.0
tn_jews,72.0,95.0,95.0,48.0,34.0,50.0
tn_muslims,81.0,100.0,100.0,75.0,20.0,78.0
tn_trans people,39.0,79.0,86.0,58.0,25.0,56.0
tn_women,93.0,88.0,88.0,65.0,49.0,84.0
tp_black people,83.0,107.0,29.0,85.0,265.0,201.0
tp_disabled people,100.0,183.0,117.0,257.0,181.0,239.0
tp_gay people,88.0,126.0,189.0,228.0,236.0,182.0
tp_immigrants,174.0,94.0,244.0,258.0,302.0,247.0
tp_jews,114.0,97.0,97.0,210.0,264.0,237.0
tp_muslims,93.0,56.0,56.0,147.0,297.0,117.0
tp_trans people,233.0,143.0,121.0,180.0,288.0,198.0
tp_women,74.0,97.0,97.0,178.0,239.0,144.0
