pValue,p=1_Sum,p=1_STD,p=1_STDp,p=-3_Sum,p=-3_STD,p=-3_STDp,p=-5_Sum,p=-5_STD,p=-5_STDp,p=-8_Sum,p=-8_STD,p=-8_STDp
Target black people,63.68,12.09,6.04,65.61,12.46,6.21,66.58,12.64,6.41,67.94,12.90,6.80
Target disabled people,29.71,6.71,3.40,29.17,6.77,3.43,29.30,6.80,3.47,30.27,6.85,3.55
Target gay people,43.29,9.11,5.01,47.20,9.29,5.13,50.07,9.40,5.29,58.05,9.57,5.68
Target immigrants,37.95,7.11,3.80,36.48,7.17,3.83,35.84,7.20,3.86,35.01,7.24,3.92
Target jews,31.36,6.63,3.53,31.65,6.69,3.57,31.81,6.72,3.61,32.74,6.77,3.71
Target muslims,39.31,7.33,3.61,39.71,7.41,3.65,39.90,7.44,3.69,40.15,7.49,3.76
Target trans people,9.63,1.83,0.99,9.64,1.83,0.99,9.64,1.83,0.99,9.65,1.83,1.00
Target women,46.56,8.26,4.39,47.20,8.37,4.45,47.52,8.43,4.52,47.97,8.50,4.66
Langage dutch,39.46,5.97,2.86,37.13,6.00,2.87,36.10,6.02,2.89,34.73,6.04,2.92
Langage french,36.83,5.88,3.05,37.10,5.92,3.07,37.24,5.95,3.10,38.57,5.98,3.17
Langage french_bis,73.96,12.09,6.28,82.78,12.48,6.49,89.85,12.69,6.75,102.13,13.00,7.27
Langage italian,41.38,6.49,3.42,43.50,6.54,3.45,44.61,6.57,3.49,46.32,6.62,3.58
Langage portuguese,31.34,5.01,2.74,32.53,5.03,2.75,33.39,5.05,2.77,35.11,5.07,2.81
Langage spanish,44.64,6.42,3.55,46.85,6.48,3.58,48.06,6.51,3.63,51.29,6.56,3.74
