pValue,p=1_Sum,p=1_STD,p=1_STDp,p=-3_Sum,p=-3_STD,p=-3_STDp,p=-5_Sum,p=-5_STD,p=-5_STDp,p=-8_Sum,p=-8_STD,p=-8_STDp
Target black people,29.05,6.00,2.28,27.84,6.04,2.29,27.25,6.06,2.31,27.06,6.09,2.35
Target disabled people,54.46,10.74,4.32,51.33,10.97,4.40,50.32,11.08,4.48,51.52,11.21,4.64
Target gay people,30.79,5.70,2.24,30.99,5.74,2.26,31.10,5.76,2.28,31.26,5.79,2.32
Target immigrants,8.63,1.56,0.56,8.73,1.56,0.56,8.78,1.56,0.56,8.86,1.56,0.56
Target jews,66.32,12.15,5.69,62.82,12.46,5.81,61.39,12.59,5.93,59.64,12.75,6.11
Target muslims,53.51,9.79,4.83,59.21,10.01,4.95,62.46,10.13,5.12,67.47,10.33,5.48
Target trans people,39.73,7.40,2.89,42.51,7.49,2.93,43.96,7.53,2.97,46.12,7.60,3.06
Target women,22.74,4.04,1.51,22.82,4.05,1.52,22.86,4.06,1.52,22.91,4.07,1.54
Langage dutch,97.06,14.18,5.74,93.60,14.66,5.88,92.28,14.84,6.01,91.39,15.06,6.20
Langage french,69.08,12.10,4.97,65.54,12.37,5.05,64.46,12.47,5.12,63.82,12.59,5.22
Langage french_bis,67.29,11.77,4.88,64.36,12.03,4.96,63.67,12.13,5.03,64.29,12.25,5.14
Langage italian,71.31,11.66,4.79,71.21,11.92,4.88,71.83,12.03,4.95,72.60,12.15,5.08
Langage portuguese,113.27,16.24,7.13,113.61,17.03,7.42,119.68,17.36,7.68,127.00,17.75,8.06
Langage spanish,48.20,7.02,2.56,45.12,7.08,2.58,43.81,7.11,2.60,42.14,7.14,2.63
