pValue,p=1_Sum,p=1_STD,p=1_STDp,p=-3_Sum,p=-3_STD,p=-3_STDp,p=-5_Sum,p=-5_STD,p=-5_STDp,p=-8_Sum,p=-8_STD,p=-8_STDp
Target black people,46.47,10.13,3.94,51.11,10.33,4.01,53.35,10.42,4.09,56.43,10.55,4.23
Target disabled people,48.23,10.27,3.95,45.57,10.47,4.02,47.36,10.55,4.08,49.83,10.65,4.18
Target gay people,44.62,10.18,4.22,57.35,10.47,4.38,65.89,10.66,4.63,80.24,10.99,5.23
Target immigrants,32.48,6.46,2.29,31.10,6.51,2.31,30.44,6.54,2.33,30.47,6.57,2.37
Target jews,54.86,10.49,4.09,55.22,10.71,4.17,55.71,10.80,4.25,56.35,10.93,4.38
Target muslims,32.36,7.07,2.56,30.92,7.13,2.57,30.34,7.15,2.59,29.61,7.18,2.62
Target trans people,56.93,10.55,3.96,61.70,10.81,4.06,64.92,10.94,4.18,69.55,11.13,4.42
Target women,36.49,7.98,2.99,38.82,8.08,3.02,40.14,8.12,3.06,41.99,8.18,3.13
Langage dutch,38.82,6.39,2.61,41.15,6.45,2.64,42.55,6.49,2.68,46.32,6.55,2.80
Langage french,24.61,3.94,1.34,25.98,3.95,1.35,26.69,3.96,1.35,27.79,3.97,1.37
Langage french_bis,65.30,9.34,3.43,63.07,9.49,3.48,63.53,9.56,3.54,64.17,9.66,3.64
Langage italian,72.85,9.80,3.99,74.25,9.99,4.06,74.92,10.08,4.14,75.84,10.20,4.30
Langage portuguese,52.48,7.82,2.81,50.88,7.90,2.83,50.20,7.94,2.86,49.31,7.99,2.91
Langage spanish,51.94,7.97,3.20,49.58,8.06,3.23,48.83,8.10,3.27,47.84,8.16,3.33
