pValue,p=1_Sum,p=1_STD,p=1_STDp,p=-3_Sum,p=-3_STD,p=-3_STDp,p=-5_Sum,p=-5_STD,p=-5_STDp,p=-8_Sum,p=-8_STD,p=-8_STDp
Target black people,33.93,6.24,3.10,34.19,6.29,3.12,34.32,6.31,3.15,34.49,6.34,3.20
Target disabled people,14.25,3.31,1.75,13.87,3.31,1.76,13.83,3.32,1.76,13.85,3.32,1.77
Target gay people,43.15,7.79,4.19,46.45,7.89,4.26,48.27,7.95,4.34,51.08,8.04,4.53
Target immigrants,44.09,8.51,4.49,42.13,8.61,4.53,41.33,8.66,4.58,40.33,8.71,4.65
Target jews,23.78,4.18,2.10,23.87,4.20,2.11,23.91,4.20,2.12,23.97,4.21,2.14
Target muslims,46.56,8.53,4.05,47.29,8.67,4.12,48.91,8.74,4.20,51.91,8.84,4.38
Target trans people,14.05,2.51,1.27,14.33,2.51,1.27,14.47,2.51,1.28,14.69,2.52,1.28
Target women,27.90,4.93,2.67,28.03,4.96,2.68,28.10,4.97,2.70,28.20,4.99,2.73
Langage dutch,33.46,4.76,2.34,34.54,4.78,2.36,35.09,4.79,2.37,35.91,4.81,2.40
Langage french,42.63,6.59,3.42,43.14,6.64,3.45,44.15,6.67,3.48,45.61,6.71,3.56
Langage french_bis,43.02,6.70,3.65,43.39,6.75,3.68,43.57,6.78,3.71,43.82,6.82,3.78
Langage italian,44.73,8.42,4.25,51.90,8.57,4.33,56.43,8.65,4.45,65.66,8.80,4.76
Langage portuguese,37.18,5.51,2.91,37.42,5.54,2.93,37.54,5.56,2.95,37.71,5.59,3.00
Langage spanish,41.20,7.01,3.50,42.78,7.08,3.53,43.99,7.11,3.58,46.17,7.16,3.67
