,dutch,french,french_bis,italian,portuguese,spanish
0_Numbers,3775.0,3770.0,3765.0,3775.0,3778.0,3811.0
1_ACC,62.75,63.0,61.46,50.23,68.18,59.04
1_AUC,52.38,56.79,57.63,52.54,55.65,53.88
2_F1-AUC,52.33,56.72,57.24,50.78,55.51,53.67
2_H-F1,74.64,73.24,70.95,56.87,79.28,69.58
2_MacF1,52.27,56.65,56.86,49.01,55.38,53.46
2_NH-F1,29.91,40.05,42.76,41.15,31.47,37.33
ACC_black people,71.95,71.49,66.44,43.45,72.71,68.71
ACC_disabled people,73.33,53.1,63.95,62.07,73.85,61.22
ACC_gay people,51.03,71.95,69.2,63.68,73.62,62.36
ACC_immigrants,47.82,72.64,57.93,45.06,55.5,58.73
ACC_jews,71.03,69.66,69.66,41.61,73.39,72.56
ACC_muslims,74.94,44.14,44.14,30.34,73.85,34.92
ACC_trans people,65.75,74.02,72.41,70.34,75.75,70.98
ACC_women,64.83,53.72,53.72,49.66,69.52,47.79
AUC_black people,47.94,52.58,54.54,57.56,49.51,47.95
AUC_disabled people,52.47,61.6,52.98,52.0,53.52,52.03
AUC_gay people,51.34,48.6,56.02,58.0,56.94,57.75
AUC_immigrants,53.18,50.7,66.75,55.98,58.34,50.06
AUC_jews,48.66,52.69,52.69,55.7,52.24,50.14
AUC_muslims,49.57,59.01,59.01,53.57,51.57,52.76
AUC_trans people,51.45,50.62,50.22,51.83,53.04,51.76
AUC_women,52.16,61.95,61.95,56.37,55.29,54.1
F1-AUC_black people,45.66,52.32,54.5,50.48,47.69,47.11
F1-AUC_disabled people,51.83,56.75,52.89,51.82,53.05,51.73
F1-AUC_gay people,49.38,46.72,56.11,57.14,57.18,56.63
F1-AUC_immigrants,49.68,49.58,61.64,50.33,55.47,49.75
F1-AUC_jews,47.2,52.64,52.64,48.64,51.44,48.93
F1-AUC_muslims,46.65,51.56,51.56,40.98,50.34,43.73
F1-AUC_trans people,51.45,48.92,48.96,51.57,51.98,51.45
F1-AUC_women,52.15,57.22,57.22,52.3,55.39,50.29
MM_black people,93.96,88.82,77.34,30.51,94.26,87.24
MM_disabled people,92.45,45.32,74.23,71.3,92.75,69.44
MM_gay people,50.76,93.35,81.27,68.88,89.12,66.47
MM_immigrants,42.9,92.75,49.85,35.05,52.87,66.47
MM_jews,91.54,85.2,85.2,28.7,93.05,92.58
MM_muslims,98.19,30.51,30.51,9.06,94.56,18.99
MM_trans people,78.85,95.47,92.75,87.31,96.36,88.13
MM_women,76.44,46.01,46.01,43.5,82.42,41.85
MacF1_black people,43.39,52.05,54.47,43.4,45.87,46.27
MacF1_disabled people,51.19,51.89,52.8,51.64,52.59,51.43
MacF1_gay people,47.42,44.83,56.19,56.27,57.41,55.51
MacF1_immigrants,46.17,48.45,56.53,44.68,52.6,49.44
MacF1_jews,45.74,52.59,52.59,41.58,50.65,47.72
MacF1_muslims,43.72,44.11,44.11,28.38,49.12,34.69
MacF1_trans people,51.46,47.22,47.71,51.31,50.91,51.14
MacF1_women,52.14,52.5,52.5,48.24,55.5,46.48
OP_black people,1.92,16.35,31.73,84.62,4.76,8.65
OP_disabled people,12.5,77.88,31.73,32.69,14.29,34.62
OP_gay people,51.92,3.85,30.77,47.12,24.76,49.04
OP_immigrants,63.46,8.65,83.65,76.92,63.81,33.65
OP_jews,5.77,20.19,20.19,82.69,11.43,7.69
OP_muslims,0.96,87.5,87.5,98.08,8.57,86.54
OP_trans people,24.04,5.77,7.69,16.35,9.71,15.38
OP_women,27.88,77.88,77.88,69.23,28.16,66.35
fn_black people,20.0,37.0,75.0,230.0,19.0,43.0
fn_disabled people,25.0,181.0,84.0,95.0,24.0,103.0
fn_gay people,163.0,22.0,62.0,103.0,36.0,113.0
fn_immigrants,189.0,24.0,166.0,215.0,156.0,113.0
fn_jews,28.0,49.0,49.0,236.0,23.0,25.0
fn_muslims,6.0,230.0,230.0,301.0,18.0,273.0
fn_trans people,70.0,15.0,24.0,42.0,12.0,40.0
fn_women,78.0,176.0,176.0,187.0,58.0,189.0
fp_black people,102.0,87.0,71.0,16.0,100.0,95.0
fp_disabled people,91.0,23.0,71.0,70.0,90.0,68.0
fp_gay people,50.0,100.0,72.0,55.0,79.0,53.0
fp_immigrants,38.0,95.0,17.0,24.0,38.0,69.0
fp_jews,98.0,83.0,83.0,18.0,93.0,96.0
fp_muslims,103.0,13.0,13.0,2.0,96.0,14.0
fp_trans people,79.0,98.0,96.0,87.0,93.0,88.0
fp_women,75.0,23.0,23.0,32.0,74.0,35.0
tn_black people,2.0,17.0,33.0,88.0,5.0,9.0
tn_disabled people,13.0,81.0,33.0,34.0,15.0,36.0
tn_gay people,54.0,4.0,32.0,49.0,26.0,51.0
tn_immigrants,66.0,9.0,87.0,80.0,67.0,35.0
tn_jews,6.0,21.0,21.0,86.0,12.0,8.0
tn_muslims,1.0,91.0,91.0,102.0,9.0,90.0
tn_trans people,25.0,6.0,8.0,17.0,10.0,16.0
tn_women,29.0,81.0,81.0,72.0,29.0,69.0
tp_black people,311.0,294.0,256.0,101.0,312.0,294.0
tp_disabled people,306.0,150.0,242.0,236.0,307.0,234.0
tp_gay people,168.0,309.0,269.0,228.0,295.0,224.0
tp_immigrants,142.0,307.0,165.0,116.0,175.0,224.0
tp_jews,303.0,282.0,282.0,95.0,308.0,312.0
tp_muslims,325.0,101.0,101.0,30.0,313.0,64.0
tp_trans people,261.0,316.0,307.0,289.0,318.0,297.0
tp_women,253.0,150.0,150.0,144.0,272.0,136.0
